Zone,Datetime,Bandwidth,Upload Jitter,Download Jitter,Upload Packet Loss,Download Packet Loss,Upload Bit Rate (With TCP),Download Bit Rate (With TCP),Max Bit Rate (With TCP),One-Way Delay
europe-west1-b,Saturday 6 May 17:45,92.0 M,0.784,0.000,0,0,93.3 M,92.6 M,104.0 M,51.12
europe-west1-b,Saturday 6 May 17:48,91.4 M,0.832,0.000,0,0,80.4 M,79.2 M,94.4 M,14.53
europe-west1-b,Saturday 6 May 17:50,79.9 M,0.840,0.000,0,0,93.3 M,92.3 M,100.0 M,22.63
me-west1-a,Saturday 6 May 18:44,89.6 M,0.773,0.000,0,0,90.6 M,90.0 M,107.0 M,46.41
me-west1-a,Saturday 6 May 18:47,89.9 M,0.762,0.000,0,0,91.5 M,90.1 M,107.0 M,37.81
me-west1-a,Saturday 6 May 18:57,89.7 M,0.669,0.000,0,0,91.7 M,90.3 M,99.8 M,25.51
asia-east2-a,Saturday 6 May 19:22,70.7 M,0.740,0.000,0,0,70.5 M,69.9 M,90.6 M,173.79
asia-east2-a,Saturday 6 May 19:48,64.3 M,0.843,0.000,0,0,64.6 M,64.0 M,85.0 M,291.99
asia-east2-a,Saturday 6 May 19:53,63.4 M,0.802,0.000,0,0,62.6 M,62.0 M,82.7 M,156.27
australia-southeast1-a,Saturday 6 May 23:24,68.7 M,0.778,0.000,0,0,68.7 M,68.0 M,88.7 M,369.06
australia-southeast1-a,Saturday 6 May 23:30,68.4 M,0.695,0.000,0,0,37.9 M,36.7 M,88.0 M,296.60
australia-southeast1-a,Saturday 6 May 23:37,68.6 M,0.848,0.000,0,0,68.5 M,67.9 M,88.8 M,107.01
us-west1-a,Saturday 6 May 23:56,83.9 M,0.725,0.000,0,0,85.5 M,84.2 M,103.0 M,82.77
us-west1-a,Saturday 6 May 23:58,84.3 M,0.786,0.000,0,0,85.6 M,84.5 M,105.0 M,74.15
us-west1-a,Sunday 7 May 0:8,81.8 M,0.804,0.000,0,0,81.0 M,80.1 M,97.3 M,65.76
us-west1-a,Monday 8 May 12:34,84.2 M,0.735,0.000,0,0,85.9 M,84.6 M,97.9 M,24.41
us-west1-a,Monday 8 May 13:16,84.5 M,0.824,0.000,0,0,84.3 M,84.3 M,101.0 M,24.52
us-west1-a,Monday 8 May 13:19,84.3 M,0.713,0.000,0,0,86.1 M,84.8 M,104.0 M,102.44
us-west1-a,Monday 8 May 17:44,84.3 M,0.744,0.000,0,0,86.0 M,84.7 M,108.0 M,53.71
us-west1-a,Monday 8 May 17:47,84.3 M,0.777,0.000,0,0,86.1 M,84.8 M,107.0 M,88.34
me-west1-a,Monday 8 May 17:51,63.0 M,12.447,0.000,0,0,57.8 M,57.7 M,106.0 M,31.81
me-west1-a,Monday 8 May 17:54,89.6 M,0.793,0.000,0,0,91.7 M,90.3 M,107.0 M,26.93
me-west1-a,Monday 8 May 17:58,89.7 M,0.734,0.000,0,0,91.8 M,90.5 M,101.0 M,41.06
australia-southeast1-a,Monday 8 May 18:6,17.2 M,0.695,0.000,0,0,68.7 M,68.1 M,88.5 M,198.34
australia-southeast1-a,Monday 8 May 18:9,68.3 M,0.708,0.000,0,0,68.9 M,68.2 M,88.4 M,122.69
australia-southeast1-a,Monday 8 May 21:52,69.1 M,0.775,0.000,0,0,69.1 M,68.5 M,89.3 M,148.33
australia-southeast1-a,Monday 8 May 21:57,69.5 M,0.826,0.000,0.11,0,69.2 M,68.6 M,89.0 M,141.00
australia-southeast1-a,Monday 8 May 22:0,68.6 M,0.987,0.000,0,0,68.7 M,68.1 M,88.8 M,144.01
australia-southeast1-a,Monday 8 May 22:4,68.6 M,0.760,0.000,0,0,69.1 M,68.4 M,89.5 M,147.85
asia-east2-a,Monday 8 May 22:20,71.8 M,0.800,0.000,0,0,70.7 M,70.0 M,91.3 M,148.72
asia-east2-a,Monday 8 May 22:24,70.4 M,0.771,0.000,0,0,71.3 M,70.7 M,91.0 M,140.16
asia-east2-a,Monday 8 May 22:30,70.7 M,0.736,0.000,0,0,69.8 M,69.2 M,91.0 M,138.21
asia-east2-a,Monday 8 May 22:37,70.7 M,0.732,0.000,0,0,71.3 M,70.6 M,90.7 M,139.14
asia-east2-a,Monday 8 May 22:47,70.4 M,0.920,0.000,0,0,70.8 M,70.2 M,91.4 M,146.05
asia-east2-a,Monday 8 May 22:55,71.0 M,0.832,0.000,0,0,71.4 M,70.8 M,90.8 M,147.36
asia-east2-a,Monday 8 May 22:59,70.0 M,0.765,0.000,0,0,70.5 M,69.9 M,91.0 M,137.26
asia-east2-a,Monday 8 May 23:3,70.3 M,0.724,0.000,0,0,71.2 M,70.6 M,90.9 M,140.36
asia-east2-a,Tuesday 9 May 11:53,38.1 M,0.813,0.000,0,0,70.7 M,70.0 M,90.4 M,143.16
asia-east2-a,Tuesday 9 May 11:58,71.3 M,0.784,0.000,0,0,70.6 M,70.0 M,90.7 M,138.01
asia-east2-a,Tuesday 9 May 12:9,71.4 M,0.785,0.000,0,0,71.1 M,70.4 M,90.9 M,148.87
australia-southeast1-a,Tuesday 9 May 12:15,69.0 M,0.796,0.000,0,0,69.5 M,68.8 M,89.6 M,147.29
australia-southeast1-a,Tuesday 9 May 15:52,69.2 M,0.772,0.000,0,0,68.9 M,68.2 M,88.7 M,165.35
australia-southeast1-a,Tuesday 9 May 16:6,69.0 M,0.775,0.000,0,0,68.8 M,68.2 M,89.0 M,143.77
europe-west1-b,Tuesday 9 May 16:47,91.3 M,0.703,0.000,0,0,92.4 M,92.3 M,99.4 M,37.10
europe-west1-b,Tuesday 9 May 17:6,92.3 M,0.795,0.000,0,0,93.3 M,92.3 M,102.0 M,16.82
me-west1-a,Tuesday 9 May 19:59,90.9 M,0.835,0.000,0,0,93.3 M,92.3 M,99.7 M,65.32
me-west1-a,Tuesday 9 May 20:4,89.5 M,0.831,0.000,0,0,91.7 M,90.4 M,105.0 M,13.64
me-west1-a,Tuesday 9 May 21:43,89.5 M,0.720,0.000,0,0,91.2 M,90.2 M,102.0 M,84.21
us-west1-a,Tuesday 9 May 22:17,84.3 M,0.666,0.000,0,0,85.9 M,84.6 M,98.5 M,73.87
us-west1-a,Tuesday 9 May 22:20,84.4 M,0.784,0.000,0,0,85.4 M,84.1 M,107.0 M,92.49
us-west1-a,Tuesday 9 May 22:56,84.6 M,0.808,0.000,0,0,85.4 M,84.1 M,103.0 M,68.63
us-west1-a,Wednesday 10 May 15:3,58.9 M,12.381,0.000,0,0,57.4 M,56.6 M,84.7 M,104.80
us-west1-a,Wednesday 10 May 15:6,84.4 M,0.692,0.000,0,0,86.1 M,84.7 M,98.8 M,64.66
us-west1-a,Wednesday 10 May 15:31,84.5 M,0.803,0.000,0,0,84.9 M,83.6 M,108.0 M,83.37
me-west1-a,Wednesday 10 May 15:37,90.0 M,0.618,0.000,0,0,91.8 M,90.4 M,105.0 M,32.44
me-west1-a,Wednesday 10 May 15:40,89.9 M,0.830,0.000,0,0,91.2 M,90.4 M,97.3 M,41.20
me-west1-a,Wednesday 10 May 15:47,89.9 M,0.813,0.000,0,0,91.6 M,90.3 M,98.8 M,22.45
europe-west1-b,Wednesday 10 May 16:4,91.9 M,0.768,0.000,0,0,93.4 M,92.3 M,102.0 M,52.62
europe-west1-b,Wednesday 10 May 16:14,91.7 M,0.806,0.000,0,0,93.5 M,92.4 M,103.0 M,18.58
europe-west1-b,Wednesday 10 May 16:20,90.3 M,0.791,0.000,0,0,93.1 M,92.1 M,99.9 M,31.08
australia-southeast1-a,Wednesday 10 May 16:36,68.6 M,0.719,0.000,0,0,68.7 M,68.0 M,88.9 M,145.62
australia-southeast1-a,Wednesday 10 May 16:39,68.3 M,0.768,0.000,0,0,69.3 M,68.7 M,89.3 M,145.61
australia-southeast1-a,Wednesday 10 May 16:45,68.2 M,0.786,0.000,0,0,68.3 M,67.7 M,88.9 M,138.48
asia-east2-a,Wednesday 10 May 17:1,29.4 M,0.781,0.000,0,0,70.9 M,70.2 M,91.1 M,163.54
asia-east2-a,Wednesday 10 May 17:25,70.3 M,0.698,0.000,0,0,70.1 M,69.5 M,90.7 M,141.14
asia-east2-a,Wednesday 10 May 17:30,70.5 M,0.745,0.000,0,0,71.3 M,70.7 M,91.1 M,139.00
